timestamp,meter_reading,air_temperature,dew_temperature,holiday
2016-01-01,179.82291304347828,-6.229166666666667,-10.283333333333333,1
2016-01-02,175.22220833333333,-5.8374999999999995,-9.945833333333333,0
2016-01-03,174.82054166666668,-3.008333333333333,-7.595833333333336,0
2016-01-04,194.20137500000007,-7.229166666666667,-10.004166666666668,0
2016-01-05,203.1314166666667,-4.6375,-8.208333333333334,0
2016-01-06,203.2802916666666,-2.8416666666666663,-6.104166666666668,0
2016-01-07,200.94366666666667,-0.27499999999999997,-1.7958333333333336,0
2016-01-08,197.06433333333337,0.4583333333333332,-1.0958333333333334,0
2016-01-09,177.64700000000002,-10.354166666666666,-13.612500000000004,0
2016-01-10,183.30425,-20.554166666666664,-25.57083333333333,0
2016-01-11,203.38637500000002,-19.6375,-22.820833333333336,0
2016-01-12,210.82333333333335,-17.783333333333335,-21.84583333333333,0
2016-01-13,206.68162499999997,-15.483333333333336,-18.99166666666667,0
2016-01-14,200.76958333333332,-6.712500000000001,-9.662499999999998,0
2016-01-15,199.38129166666667,-5.333333333333333,-8.1375,0
2016-01-16,184.5525,-14.5625,-20.25,0
2016-01-17,185.00808333333336,-22.45416666666667,-27.45833333333334,0
2016-01-18,191.34091666666666,-21.6125,-26.091666666666658,0
2016-01-19,203.88908333333333,-18.279166666666665,-22.187500000000004,0
2016-01-20,210.21204166666666,-11.054166666666667,-14.487499999999997,0
2016-01-21,207.24075000000002,-5.783333333333332,-8.41666666666667,0
2016-01-22,204.4762083333333,-6.291666666666668,-10.654166666666663,0
2016-01-23,185.4321666666667,-6.5625,-10.83333333333333,0
2016-01-24,181.15683333333334,-3.5874999999999986,-5.262500000000002,0
2016-01-25,199.52970833333333,-2.087500000000001,-3.75,0
2016-01-26,205.76133333333337,-3.2083333333333326,-6.866666666666667,0
2016-01-27,206.20695833333332,-4.033333333333333,-8.304166666666667,0
2016-01-28,201.28729166666668,1.5750000000000002,-3.220833333333333,0
2016-01-29,195.498375,-4.2875,-8.4375,0
2016-01-30,174.32408333333333,1.4541666666666666,-2.129166666666666,0
2016-01-31,174.63599999999997,2.3124999999999996,-1.2041666666666664,0
2016-02-01,180.27075,-1.2125000000000001,-3.541666666666668,0
2016-02-02,183.46270833333335,-1.858333333333334,-4.749999999999999,0
2016-02-03,194.3755,-5.620833333333333,-9.508333333333335,0
2016-02-04,208.93733333333333,-8.708333333333334,-12.145833333333336,0
2016-02-05,200.0845416666667,-8.708333333333334,-12.308333333333332,0
2016-02-06,179.46250000000006,-2.0916666666666655,-5.4375,0
2016-02-07,176.04841666666672,2.233333333333333,-2.7499999999999996,0
2016-02-08,201.32937500000003,-8.679166666666667,-13.354166666666663,0
2016-02-09,213.55137500000004,-11.320833333333333,-17.062500000000004,0
2016-02-10,219.066875,-13.108333333333336,-19.937500000000004,0
2016-02-11,219.16533333333328,-12.362499999999997,-19.666666666666668,0
2016-02-12,216.79829166666664,-11.429166666666667,-17.262500000000003,0
2016-02-13,199.608875,-16.94583333333333,-24.0125,0
2016-02-14,191.32875,-11.366666666666665,-17.229166666666668,0
2016-02-15,209.74425,-5.587499999999999,-8.354166666666668,0
2016-02-16,211.68708333333333,-0.5083333333333332,-3.454166666666667,0
2016-02-17,215.99108333333334,-5.266666666666668,-12.125000000000005,0
2016-02-18,212.0679583333334,-1.0416666666666672,-6.395833333333331,0
2016-02-19,207.77858333333336,3.9166666666666674,0.9875000000000002,0
2016-02-20,187.07320833333335,4.216666666666668,-0.30000000000000004,0
2016-02-21,187.48008333333334,-0.16666666666666666,-4.1208333333333345,0
2016-02-22,208.98016666666663,-0.36666666666666675,-6.1375,0
2016-02-23,208.9734166666667,1.4749999999999999,-1.9874999999999996,0
2016-02-24,215.23541666666668,1.8166666666666667,-1.9999999999999993,0
2016-02-25,214.10766666666666,-0.6499999999999999,-6.937500000000003,0
2016-02-26,211.12304166666664,-0.8291666666666666,-7.8625,0
2016-02-27,191.62208333333334,5.95,-1.929166666666666,0
2016-02-28,187.7251666666667,4.295833333333333,0.4583333333333332,0
2016-02-29,209.67433333333335,-1.9833333333333332,-10.304166666666667,0
2016-03-01,211.91116666666667,-7.062500000000001,-19.325,0
2016-03-02,213.14320833333332,-6.199999999999999,-14.579166666666667,0
2016-03-03,213.33662500000003,-2.1583333333333328,-10.533333333333333,0
2016-03-04,204.71262499999997,-0.3791666666666667,-6.433333333333333,0
2016-03-05,186.66183333333342,1.1874999999999998,-2.508333333333333,0
2016-03-06,186.83083333333332,4.4625,-1.8083333333333333,0
2016-03-07,207.751625,10.562499999999995,4.883333333333332,0
2016-03-08,217.48450000000003,15.345833333333333,9.549999999999997,0
